V_r,I_ub,I_b,I_φ
0.0,-4.777,0.0013,-4.7757000000000005
0.001,-5.159,0.0013,-5.1577
0.002,-4.443,0.0013,-4.4417
0.003,-5.287,0.0013,-5.2857
0.004,-4.957,0.0013,-4.9557
0.005,-5.031,0.0013,-5.0297
0.006,-4.719,0.0013,-4.717700000000001
0.007,-4.408,0.0013,-4.406700000000001
0.008,-5.196000000000001,0.0013,-5.194700000000001
0.009000000000000001,-4.391,0.0013,-4.3897
0.01,-4.989,0.0013,-4.9877
0.011,-5.016,0.0013,-5.0147
0.012,-5.2299999999999995,0.0013,-5.2287
0.013000000000000001,-5.246,0.0013,-5.244700000000001
0.014,-4.5360000000000005,0.0013,-4.534700000000001
0.015,-4.682,0.0013,-4.680700000000001
0.016,-5.187,0.0013,-5.185700000000001
0.017,-4.659,0.0013,-4.6577
0.018000000000000002,-4.486,0.0013,-4.4847
0.019,-4.326,0.0013,-4.3247
0.02,-5.191999999999999,0.0013,-5.1907
0.021,-4.392,0.0013,-4.390700000000001
0.022,-4.991,0.0013,-4.9897
0.023,-4.819,0.0013,-4.8177
0.024,-4.4430000000000005,0.0013,-4.441700000000001
0.025,-5.164000000000001,0.0013,-5.162700000000001
0.026000000000000002,-5.175000000000001,0.0013,-5.173700000000001
0.027,-4.930999999999999,0.0013,-4.9296999999999995
0.028,-5.104,0.0013,-5.1027000000000005
0.029,-5.156,0.0013,-5.1547
0.03,-4.8999999999999995,0.0013,-4.8987
0.031,-5.052,0.0013,-5.0507
0.032,-4.388999999999999,0.0013,-4.3877
0.033,-5.047,0.0013,-5.0457
0.034,-4.886,0.0013,-4.8847000000000005
0.035,-4.515,0.0013,-4.5137
0.036000000000000004,-4.901999999999999,0.0013,-4.9007
0.037,-4.343999999999999,0.0013,-4.3427
0.038,-4.2829999999999995,0.0013,-4.2817
0.039,-5.069999999999999,0.0013,-5.0687
0.04,-4.883,0.0013,-4.8817
0.041,-5.065,0.0013,-5.063700000000001
0.042,-4.829,0.0013,-4.8277
0.043000000000000003,-5.07,0.0013,-5.068700000000001
0.044,-4.939,0.0013,-4.9377
0.045,-4.591,0.0013,-4.589700000000001
0.046,-4.728,0.0013,-4.7267
0.047,-4.42,0.0013,-4.4187
0.048,-5.038,0.0013,-5.036700000000001
0.049,-4.928,0.0013,-4.9267
0.05,-4.245,0.0013,-4.2437000000000005
0.051000000000000004,-4.931,0.0013,-4.9297
0.052000000000000005,-4.436,0.0013,-4.4347
0.053,-4.882,0.0013,-4.8807
0.054,-4.559,0.0013,-4.5577000000000005
0.055,-4.284999999999999,0.0013,-4.2837
0.056,-4.128,0.0013,-4.1267000000000005
0.057,-4.909000000000001,0.0013,-4.907700000000001
0.058,-4.946,0.0013,-4.9447
0.059000000000000004,-4.7410000000000005,0.0013,-4.739700000000001
0.06,-4.543,0.0013,-4.5417000000000005
0.061,-4.844,0.0013,-4.842700000000001
0.062,-4.752,0.0013,-4.7507
0.063,-3.996,0.0013,-3.9947
0.064,-4.883,0.0013,-4.8817
0.065,-4.776,0.0013,-4.7747
0.066,-4.9239999999999995,0.0013,-4.9227
0.067,-4.352,0.0013,-4.350700000000001
0.068,-4.914000000000001,0.0013,-4.912700000000001
0.069,-4.7299999999999995,0.0013,-4.7287
0.07,-4.582,0.0013,-4.5807
0.07100000000000001,-4.819,0.0013,-4.8177
0.07200000000000001,-4.411,0.0013,-4.4097
0.073,-4.623,0.0013,-4.621700000000001
0.074,-4.056,0.0013,-4.0547
0.075,-4.016,0.0013,-4.0147
0.076,-4.781,0.0013,-4.7797
0.077,-4.303,0.0013,-4.3017
0.078,-4.011,0.0013,-4.0097000000000005
0.079,-4.75,0.0013,-4.7487
0.08,-4.727,0.0013,-4.725700000000001
0.081,-4.375,0.0013,-4.3737
0.082,-4.117999999999999,0.0013,-4.1167
0.083,-3.938,0.0013,-3.9367
0.084,-4.417,0.0013,-4.4157
0.085,-4.6930000000000005,0.0013,-4.691700000000001
0.08600000000000001,-4.482,0.0013,-4.480700000000001
0.08700000000000001,-4.739,0.0013,-4.7377
0.088,-3.889,0.0013,-3.8876999999999997
0.089,-3.962,0.0013,-3.9607
0.09,-4.065,0.0013,-4.063700000000001
0.091,-4.765000000000001,0.0013,-4.763700000000001
0.092,-3.866,0.0013,-3.8647
0.093,-4.7299999999999995,0.0013,-4.7287
0.094,-4.413,0.0013,-4.411700000000001
0.095,-4.522,0.0013,-4.520700000000001
0.096,-4.6209999999999996,0.0013,-4.6197
0.097,-4.7250000000000005,0.0013,-4.723700000000001
0.098,-4.517,0.0013,-4.515700000000001
0.099,-3.9610000000000003,0.0013,-3.9597
0.1,-4.612,0.0013,-4.6107000000000005
0.101,-4.607,0.0013,-4.605700000000001
0.10200000000000001,-4.691000000000001,0.0013,-4.689700000000001
0.10300000000000001,-4.261,0.0013,-4.2597000000000005
0.10400000000000001,-3.8840000000000003,0.0013,-3.8827000000000003
0.105,-4.639,0.0013,-4.637700000000001
0.106,-4.6499999999999995,0.0013,-4.6487
0.107,-4.421,0.0013,-4.419700000000001
0.108,-3.799,0.0013,-3.7977
0.109,-3.896,0.0013,-3.8947
0.11,-3.888,0.0013,-3.8867
0.111,-3.75,0.0013,-3.7487
0.112,-3.763,0.0013,-3.7617
0.113,-3.8890000000000002,0.0013,-3.8877
0.114,-4.627,0.0013,-4.6257
0.115,-3.7030000000000003,0.0013,-3.7017
0.116,-4.521,0.0013,-4.5197
0.117,-4.564,0.0013,-4.5627
0.11800000000000001,-3.92,0.0013,-3.9187
0.11900000000000001,-3.767,0.0013,-3.7657
0.12,-3.717,0.0013,-3.7157
0.121,-4.221,0.0013,-4.2197000000000005
0.122,-4.44,0.0013,-4.438700000000001
0.123,-4.483,0.0013,-4.4817
0.124,-4.566,0.0013,-4.5647
0.125,-4.247,0.0013,-4.2457
0.126,-4.499,0.0013,-4.4977
0.127,-4.268,0.0013,-4.2667
0.128,-3.572,0.0013,-3.5707
0.129,-4.390000000000001,0.0013,-4.388700000000001
0.13,-3.6310000000000002,0.0013,-3.6297
0.131,-4.461,0.0013,-4.459700000000001
0.132,-4.372,0.0013,-4.3707
0.133,-3.572,0.0013,-3.5707
0.134,-3.762,0.0013,-3.7607
0.135,-4.366,0.0013,-4.3647
0.136,-3.585,0.0013,-3.5837
0.137,-4.451,0.0013,-4.4497
0.138,-3.736,0.0013,-3.7347
0.139,-4.2330000000000005,0.0013,-4.231700000000001
0.14,-4.36,0.0013,-4.358700000000001
0.14100000000000001,-4.4319999999999995,0.0013,-4.4307
0.14200000000000002,-3.834,0.0013,-3.8327
0.14300000000000002,-3.8609999999999998,0.0013,-3.8596999999999997
0.14400000000000002,-3.6929999999999996,0.0013,-3.6916999999999995
0.145,-3.605,0.0013,-3.6037
0.146,-4.266,0.0013,-4.2647
0.147,-3.687,0.0013,-3.6856999999999998
0.148,-4.308,0.0013,-4.3067
0.149,-4.285,0.0013,-4.2837000000000005
0.15,-3.4779999999999998,0.0013,-3.4766999999999997
0.151,-3.843,0.0013,-3.8417
0.152,-4.276000000000001,0.0013,-4.274700000000001
0.153,-3.499,0.0013,-3.4977
0.154,-3.509,0.0013,-3.5077
0.155,-4.306,0.0013,-4.3047
0.156,-4.256,0.0013,-4.254700000000001
0.157,-3.423,0.0013,-3.4217
0.158,-4.34,0.0013,-4.3387
0.159,-4.324,0.0013,-4.3227
0.16,-4.265,0.0013,-4.2637
0.161,-4.295,0.0013,-4.2937
0.162,-3.368,0.0013,-3.3667
0.163,-3.371,0.0013,-3.3697
0.164,-4.248,0.0013,-4.246700000000001
0.165,-4.288,0.0013,-4.286700000000001
0.166,-4.047,0.0013,-4.0457
0.167,-4.264,0.0013,-4.262700000000001
0.168,-4.185,0.0013,-4.1837
0.169,-4.013,0.0013,-4.0117
0.17,-4.141,0.0013,-4.1397
0.171,-3.448,0.0013,-3.4467
0.17200000000000001,-3.239,0.0013,-3.2377
0.17300000000000001,-4.203,0.0013,-4.201700000000001
0.17400000000000002,-4.178,0.0013,-4.1767
0.17500000000000002,-4.165,0.0013,-4.1637
0.176,-3.705,0.0013,-3.7037
0.177,-3.2920000000000003,0.0013,-3.2907
0.178,-3.9779999999999998,0.0013,-3.9766999999999997
0.179,-3.944,0.0013,-3.9427
0.18,-3.4850000000000003,0.0013,-3.4837000000000002
0.181,-4.154,0.0013,-4.1527
0.182,-3.5340000000000003,0.0013,-3.5327
0.183,-4.147,0.0013,-4.145700000000001
0.184,-4.135,0.0013,-4.1337
0.185,-4.047,0.0013,-4.0457
0.186,-3.751,0.0013,-3.7497
0.187,-3.458,0.0013,-3.4567
0.188,-4.123,0.0013,-4.121700000000001
0.189,-3.35,0.0013,-3.3487
0.19,-4.015,0.0013,-4.0137
0.191,-3.628,0.0013,-3.6267
0.192,-3.793,0.0013,-3.7917
0.193,-4.084,0.0013,-4.0827
0.194,-3.27,0.0013,-3.2687
0.195,-3.219,0.0013,-3.2177
0.196,-3.328,0.0013,-3.3266999999999998
0.197,-3.393,0.0013,-3.3916999999999997
0.198,-3.439,0.0013,-3.4377
0.199,-3.383,0.0013,-3.3817
0.2,-4.009,0.0013,-4.007700000000001
0.201,-3.988,0.0013,-3.9867
0.202,-4.066,0.0013,-4.0647
0.203,-4.05,0.0013,-4.0487
0.20400000000000001,-3.87,0.0013,-3.8687
0.20500000000000002,-3.993,0.0013,-3.9917
0.20600000000000002,-3.923,0.0013,-3.9217
0.20700000000000002,-3.9139999999999997,0.0013,-3.9126999999999996
0.20800000000000002,-3.319,0.0013,-3.3177
0.209,-3.312,0.0013,-3.3106999999999998
0.21,-3.229,0.0013,-3.2277
0.211,-3.9650000000000003,0.0013,-3.9637000000000002
0.212,-3.2390000000000003,0.0013,-3.2377000000000002
0.213,-3.423,0.0013,-3.4217
0.214,-3.598,0.0013,-3.5967
0.215,-3.967,0.0013,-3.9657
0.216,-3.418,0.0013,-3.4167
0.217,-3.812,0.0013,-3.8106999999999998
0.218,-3.1700000000000004,0.0013,-3.1687000000000003
0.219,-3.815,0.0013,-3.8137
0.22,-3.2569999999999997,0.0013,-3.2556999999999996
0.221,-3.935,0.0013,-3.9337
0.222,-3.246,0.0013,-3.2447
0.223,-3.785,0.0013,-3.7837
0.224,-3.874,0.0013,-3.8727
0.225,-3.8619999999999997,0.0013,-3.8606999999999996
0.226,-2.939,0.0013,-2.9377
0.227,-3.195,0.0013,-3.1936999999999998
0.228,-3.858,0.0013,-3.8567
0.229,-3.846,0.0013,-3.8447
0.23,-3.02,0.0013,-3.0187
0.231,-3.29,0.0013,-3.2887
0.232,-3.452,0.0013,-3.4507
0.233,-3.59,0.0013,-3.5887
0.234,-3.0940000000000003,0.0013,-3.0927000000000002
0.23500000000000001,-2.867,0.0013,-2.8657
0.23600000000000002,-3.82,0.0013,-3.8186999999999998
0.23700000000000002,-2.923,0.0013,-2.9217
0.23800000000000002,-3.38,0.0013,-3.3787
0.23900000000000002,-3.813,0.0013,-3.8117
0.24,-3.728,0.0013,-3.7267
0.241,-3.724,0.0013,-3.7227
0.242,-2.8709999999999996,0.0013,-2.8696999999999995
0.243,-3.533,0.0013,-3.5317
0.244,-3.7489999999999997,0.0013,-3.7476999999999996
0.245,-3.3689999999999998,0.0013,-3.3676999999999997
0.246,-2.9570000000000003,0.0013,-2.9557
0.247,-3.298,0.0013,-3.2967
0.248,-3.431,0.0013,-3.4297
0.249,-3.743,0.0013,-3.7417
0.25,-3.615,0.0013,-3.6137
0.251,-2.987,0.0013,-2.9857
0.252,-3.5100000000000002,0.0013,-3.5087
0.253,-3.7,0.0013,-3.6987
0.254,-3.6149999999999998,0.0013,-3.6136999999999997
0.255,-3.6239999999999997,0.0013,-3.6226999999999996
0.256,-3.2880000000000003,0.0013,-3.2867
0.257,-3.6599999999999997,0.0013,-3.6586999999999996
0.258,-3.048,0.0013,-3.0467
0.259,-3.182,0.0013,-3.1807
0.26,-3.557,0.0013,-3.5557
0.261,-3.6,0.0013,-3.5987
0.262,-3.536,0.0013,-3.5347
0.263,-3.53,0.0013,-3.5286999999999997
0.264,-3.637,0.0013,-3.6357
0.265,-2.7889999999999997,0.0013,-2.7876999999999996
0.266,-3.4859999999999998,0.0013,-3.4846999999999997
0.267,-3.621,0.0013,-3.6197
0.268,-3.554,0.0013,-3.5526999999999997
0.269,-3.2640000000000002,0.0013,-3.2627
0.27,-3.214,0.0013,-3.2127
0.271,-3.562,0.0013,-3.5606999999999998
0.272,-3.488,0.0013,-3.4867
0.273,-3.574,0.0013,-3.5726999999999998
0.274,-3.5549999999999997,0.0013,-3.5536999999999996
0.275,-3.1500000000000004,0.0013,-3.1487000000000003
0.276,-2.702,0.0013,-2.7007
0.277,-3.432,0.0013,-3.4307
0.278,-3.546,0.0013,-3.5446999999999997
0.279,-3.125,0.0013,-3.1237
0.28,-2.782,0.0013,-2.7807
0.281,-3.478,0.0013,-3.4767
0.28200000000000003,-3.198,0.0013,-3.1967
0.28300000000000003,-3.4490000000000003,0.0013,-3.4477
0.28400000000000003,-3.37,0.0013,-3.3687
0.28500000000000003,-2.758,0.0013,-2.7567
0.28600000000000003,-3.124,0.0013,-3.1227
0.28700000000000003,-3.4189999999999996,0.0013,-3.4176999999999995
0.28800000000000003,-3.316,0.0013,-3.3146999999999998
0.289,-2.976,0.0013,-2.9747
0.29,-3.394,0.0013,-3.3927
0.291,-2.602,0.0013,-2.6007
0.292,-3.3,0.0013,-3.2986999999999997
0.293,-3.416,0.0013,-3.4147
0.294,-2.7159999999999997,0.0013,-2.7146999999999997
0.295,-3.3520000000000003,0.0013,-3.3507000000000002
0.296,-2.9699999999999998,0.0013,-2.9686999999999997
0.297,-3.358,0.0013,-3.3567
0.298,-3.245,0.0013,-3.2437
0.299,-3.117,0.0013,-3.1157
0.3,-2.599,0.0013,-2.5977
0.301,-2.781,0.0013,-2.7797
0.302,-2.707,0.0013,-2.7056999999999998
0.303,-3.3070000000000004,0.0013,-3.3057000000000003
0.304,-3.074,0.0013,-3.0726999999999998
0.305,-3.195,0.0013,-3.1936999999999998
0.306,-2.96,0.0013,-2.9587
0.307,-2.7560000000000002,0.0013,-2.7547
0.308,-3.2710000000000004,0.0013,-3.2697000000000003
0.309,-2.4259999999999997,0.0013,-2.4246999999999996
0.31,-3.269,0.0013,-3.2677
