V_r,I_ub,I_b,I_φ
0.0,-0.069,0.0013,-0.06770000000000001
0.001,-0.096,0.0013,-0.0947
0.002,-0.065,0.0013,-0.0637
0.003,-0.064,0.0013,-0.0627
0.004,-0.10900000000000001,0.0013,-0.10770000000000002
0.005,-0.046,0.0013,-0.0447
0.006,-0.134,0.0013,-0.1327
0.007,-0.123,0.0013,-0.1217
0.008,-0.062,0.0013,-0.0607
0.009000000000000001,-0.082,0.0013,-0.08070000000000001
0.01,-0.053000000000000005,0.0013,-0.0517
0.011,-0.11,0.0013,-0.1087
0.012,-0.128,0.0013,-0.1267
0.013000000000000001,-0.088,0.0013,-0.0867
0.014,-0.049,0.0013,-0.0477
0.015,-0.111,0.0013,-0.1097
0.016,-0.052000000000000005,0.0013,-0.0507
0.017,-0.046,0.0013,-0.0447
0.018000000000000002,-0.063,0.0013,-0.0617
0.019,-0.131,0.0013,-0.1297
0.02,-0.115,0.0013,-0.11370000000000001
0.021,-0.045,0.0013,-0.043699999999999996
0.022,-0.11199999999999999,0.0013,-0.11069999999999999
0.023,-0.045,0.0013,-0.043699999999999996
0.024,-0.095,0.0013,-0.0937
0.025,-0.089,0.0013,-0.0877
0.026000000000000002,-0.108,0.0013,-0.1067
0.027,-0.074,0.0013,-0.0727
0.028,-0.094,0.0013,-0.0927
0.029,-0.10099999999999999,0.0013,-0.0997
0.03,-0.099,0.0013,-0.09770000000000001
0.031,-0.07100000000000001,0.0013,-0.06970000000000001
0.032,-0.034,0.0013,-0.0327
0.033,-0.058,0.0013,-0.0567
0.034,-0.039,0.0013,-0.0377
0.035,-0.097,0.0013,-0.09570000000000001
0.036000000000000004,-0.039,0.0013,-0.0377
0.037,-0.11699999999999999,0.0013,-0.1157
0.038,-0.122,0.0013,-0.1207
0.039,-0.08,0.0013,-0.0787
0.04,-0.098,0.0013,-0.09670000000000001
0.041,-0.055,0.0013,-0.0537
0.042,-0.06899999999999999,0.0013,-0.0677
0.043000000000000003,-0.06999999999999999,0.0013,-0.0687
0.044,-0.111,0.0013,-0.1097
0.045,-0.053,0.0013,-0.051699999999999996
0.046,-0.10200000000000001,0.0013,-0.10070000000000001
0.047,-0.039,0.0013,-0.0377
0.048,-0.09,0.0013,-0.0887
0.049,-0.042,0.0013,-0.0407
0.05,-0.098,0.0013,-0.09670000000000001
0.051000000000000004,-0.06,0.0013,-0.058699999999999995
0.052000000000000005,-0.053000000000000005,0.0013,-0.0517
0.053,-0.11399999999999999,0.0013,-0.1127
0.054,-0.11699999999999999,0.0013,-0.1157
0.055,-0.095,0.0013,-0.0937
0.056,-0.098,0.0013,-0.09670000000000001
0.057,-0.10500000000000001,0.0013,-0.10370000000000001
0.058,-0.101,0.0013,-0.09970000000000001
0.059000000000000004,-0.056,0.0013,-0.0547
0.06,-0.065,0.0013,-0.0637
0.061,-0.03799999999999999,0.0013,-0.03669999999999999
0.062,-0.056999999999999995,0.0013,-0.05569999999999999
0.063,-0.10400000000000001,0.0013,-0.10270000000000001
0.064,-0.11,0.0013,-0.1087
0.065,-0.10700000000000001,0.0013,-0.10570000000000002
0.066,-0.037000000000000005,0.0013,-0.0357
0.067,-0.063,0.0013,-0.0617
0.068,-0.036000000000000004,0.0013,-0.0347
0.069,-0.097,0.0013,-0.09570000000000001
0.07,-0.046000000000000006,0.0013,-0.044700000000000004
0.07100000000000001,-0.063,0.0013,-0.0617
0.07200000000000001,-0.10999999999999999,0.0013,-0.10869999999999999
0.073,-0.033999999999999996,0.0013,-0.03269999999999999
0.074,-0.106,0.0013,-0.1047
0.075,-0.106,0.0013,-0.1047
0.076,-0.077,0.0013,-0.0757
0.077,-0.034999999999999996,0.0013,-0.033699999999999994
0.078,-0.055999999999999994,0.0013,-0.05469999999999999
0.079,-0.11699999999999999,0.0013,-0.1157
0.08,-0.11699999999999999,0.0013,-0.1157
0.081,-0.10500000000000001,0.0013,-0.10370000000000001
0.082,-0.041,0.0013,-0.0397
0.083,-0.122,0.0013,-0.1207
0.084,-0.058,0.0013,-0.0567
0.085,-0.025,0.0013,-0.023700000000000002
0.08600000000000001,-0.11399999999999999,0.0013,-0.1127
0.08700000000000001,-0.108,0.0013,-0.1067
0.088,-0.11599999999999999,0.0013,-0.1147
0.089,-0.06,0.0013,-0.058699999999999995
0.09,-0.05499999999999999,0.0013,-0.05369999999999999
0.091,-0.074,0.0013,-0.0727
0.092,-0.024999999999999994,0.0013,-0.023699999999999995
0.093,-0.033999999999999996,0.0013,-0.03269999999999999
0.094,-0.06,0.0013,-0.058699999999999995
0.095,-0.116,0.0013,-0.11470000000000001
0.096,-0.033,0.0013,-0.0317
0.097,-0.11900000000000001,0.0013,-0.11770000000000001
0.098,-0.036000000000000004,0.0013,-0.0347
0.099,-0.05500000000000001,0.0013,-0.053700000000000005
0.1,-0.07700000000000001,0.0013,-0.07570000000000002
0.101,-0.107,0.0013,-0.1057
0.10200000000000001,-0.11199999999999999,0.0013,-0.11069999999999999
0.10300000000000001,-0.046000000000000006,0.0013,-0.044700000000000004
0.10400000000000001,-0.11499999999999999,0.0013,-0.1137
0.105,-0.033,0.0013,-0.0317
0.106,-0.104,0.0013,-0.1027
0.107,-0.048999999999999995,0.0013,-0.04769999999999999
0.108,-0.118,0.0013,-0.1167
0.109,-0.1,0.0013,-0.09870000000000001
0.11,-0.1,0.0013,-0.09870000000000001
0.111,-0.055,0.0013,-0.0537
0.112,-0.108,0.0013,-0.1067
0.113,-0.023000000000000007,0.0013,-0.021700000000000007
0.114,-0.10300000000000001,0.0013,-0.10170000000000001
0.115,-0.11900000000000001,0.0013,-0.11770000000000001
0.116,-0.1,0.0013,-0.09870000000000001
0.117,-0.084,0.0013,-0.08270000000000001
0.11800000000000001,-0.11199999999999999,0.0013,-0.11069999999999999
0.11900000000000001,-0.11199999999999999,0.0013,-0.11069999999999999
0.12,-0.09999999999999999,0.0013,-0.0987
0.121,-0.121,0.0013,-0.1197
0.122,-0.108,0.0013,-0.1067
0.123,-0.046,0.0013,-0.0447
0.124,-0.097,0.0013,-0.09570000000000001
0.125,-0.10300000000000001,0.0013,-0.10170000000000001
0.126,-0.079,0.0013,-0.0777
0.127,-0.022000000000000006,0.0013,-0.020700000000000007
0.128,-0.10600000000000001,0.0013,-0.10470000000000002
0.129,-0.044,0.0013,-0.042699999999999995
0.13,-0.022000000000000006,0.0013,-0.020700000000000007
0.131,-0.04100000000000001,0.0013,-0.039700000000000006
0.132,-0.091,0.0013,-0.0897
0.133,-0.031000000000000014,0.0013,-0.029700000000000015
0.134,-0.04600000000000001,0.0013,-0.04470000000000001
0.135,-0.024000000000000007,0.0013,-0.02270000000000001
0.136,-0.10300000000000001,0.0013,-0.10170000000000001
0.137,-0.10400000000000001,0.0013,-0.10270000000000001
0.138,-0.049000000000000016,0.0013,-0.04770000000000001
0.139,-0.067,0.0013,-0.06570000000000001
0.14,-0.04300000000000001,0.0013,-0.04170000000000001
0.14100000000000001,-0.07399999999999998,0.0013,-0.07269999999999999
0.14200000000000002,-0.09499999999999999,0.0013,-0.09369999999999999
0.14300000000000002,-0.094,0.0013,-0.0927
0.14400000000000002,-0.09,0.0013,-0.0887
0.145,-0.10599999999999998,0.0013,-0.10469999999999999
0.146,-0.03399999999999999,0.0013,-0.032699999999999986
0.147,-0.106,0.0013,-0.1047
0.148,-0.01899999999999999,0.0013,-0.01769999999999999
0.149,-0.046,0.0013,-0.0447
